"","Municipio.Fato","Natureza.Ocorrencia","mes_data","bo"
"10234","LUCIARA","FURTO",2014-05-01,1
"10235","MARCELANDIA","FURTO",2014-05-01,5
"10236","MATUPA","FURTO",2014-05-01,8
"10237","MIRASSOL D""OESTE","FURTO",2014-05-01,34
"10238","NOBRES","FURTO",2014-05-01,17
"10239","NORTELANDIA","FURTO",2014-05-01,1
"10240","NOSSA SRA DO LIVRAMENTO","FURTO",2014-05-01,7
"10241","NOVA BANDEIRANTE","FURTO",2014-05-01,1
"10242","NOVA BRASILANDIA","FURTO",2014-05-01,1
"10243","NOVA CANAA DO NORTE","FURTO",2014-05-01,12
"10244","NOVA LACERDA","FURTO",2014-05-01,2
"10245","NOVA MARILANDIA","FURTO",2014-05-01,2
"10246","NOVA MARINGA","FURTO",2014-05-01,5
"10247","NOVA MUTUM","FURTO",2014-05-01,85
"10248","NOVA OLIMPIA","FURTO",2014-05-01,9
"10249","NOVA UBIRATA","FURTO",2014-05-01,6
"10250","NOVA XAVANTINA","FURTO",2014-05-01,41
"10251","NOVO HORIZONTE DO NORTE","FURTO",2014-05-01,4
"10252","NOVO SANTO ANTONIO","FURTO",2014-05-01,1
"10253","NOVO SAO JOAQUIM","FURTO",2014-05-01,1
"10254","PARANAITA","FURTO",2014-05-01,9
"10255","PARANATINGA","FURTO",2014-05-01,19
"10256","PEDRA PRETA","FURTO",2014-05-01,31
"10257","PEIXOTO DE AZEVEDO","FURTO",2014-05-01,23
"10258","POCONE","FURTO",2014-05-01,21
"10259","PONTAL DO ARAGUAIA","FURTO",2014-05-01,7
"10260","PONTE BRANCA","FURTO",2014-05-01,4
"10261","PONTES E LACERDA","FURTO",2014-05-01,69
"10262","PORTO ALEGRE DO NORTE","FURTO",2014-05-01,13
"10263","PORTO DOS GAUCHOS","FURTO",2014-05-01,4
"10264","PORTO ESPERIDIAO","FURTO",2014-05-01,4
"10265","POXOREO","FURTO",2014-05-01,11
"10266","PRIMAVERA DO LESTE","FURTO",2014-05-01,76
"10267","QUERENCIA","FURTO",2014-05-01,29
"10268","RIBEIRAO CASCALHEIRA","FURTO",2014-05-01,13
"10269","RIBEIRAOZINHO","FURTO",2014-05-01,1
"10270","RONDOLANDIA","FURTO",2014-05-01,2
"10271","RONDONOPOLIS","FURTO",2014-05-01,231
"10272","ROSARIO OESTE","FURTO",2014-05-01,21
"10273","SALTO DO CEU","FURTO",2014-05-01,1
"10274","SANTA CRUZ DO XINGU","FURTO",2014-05-01,1
"10275","SANTA RITA DO TRIVELATO","FURTO",2014-05-01,2
"10276","SANTA TEREZINHA","FURTO",2014-05-01,1
"10277","SANTO AFONSO","FURTO",2014-05-01,1
"10278","SANTO ANTONIO DO LEVERGER","FURTO",2014-05-01,5
"10279","SAO FELIX DO ARAGUAIA","FURTO",2014-05-01,6
"10280","SAO JOSE DO POVO","FURTO",2014-05-01,3
"10281","SAO JOSE DO RIO CLARO","FURTO",2014-05-01,14
"10282","SAO JOSE DO XINGU","FURTO",2014-05-01,8
"10283","SAO JOSE DOS QUATRO MARCOS","FURTO",2014-05-01,17
"10284","SAPEZAL","FURTO",2014-05-01,23
"10285","SERRA NOVA DOURADA","FURTO",2014-05-01,3
"10286","SINOP","FURTO",2014-05-01,172
"10287","SORRISO","FURTO",2014-05-01,99
"10288","TANGARA DA SERRA","FURTO",2014-05-01,66
"10289","TAPURAH","FURTO",2014-05-01,1
"10290","TERRA NOVA DO NORTE","FURTO",2014-05-01,1
"10291","TORIXOREU","FURTO",2014-05-01,5
"10292","UNIAO DO SUL","FURTO",2014-05-01,5
"10293","VALE DE SAO DOMINGOS","FURTO",2014-05-01,4
"10294","VARZEA GRANDE","FURTO",2014-05-01,269
"10295","VERA","FURTO",2014-05-01,2
"10296","VILA BELA DA SS TRINDADE","FURTO",2014-05-01,5
"10297","VILA RICA","FURTO",2014-05-01,12
"10298","ALTA FLORESTA","HOMICÍDIO DOLOSO",2014-05-01,1
"10299","ALTO ARAGUAIA","HOMICÍDIO DOLOSO",2014-05-01,1
"10300","ALTO TAQUARI","HOMICÍDIO DOLOSO",2014-05-01,1
"10301","APIACAS","HOMICÍDIO DOLOSO",2014-05-01,3
"10302","ARENAPOLIS","HOMICÍDIO DOLOSO",2014-05-01,1
"10303","ARIPUANA","HOMICÍDIO DOLOSO",2014-05-01,3
"10304","BARRA DO GARCAS","HOMICÍDIO DOLOSO",2014-05-01,2
"10305","CACERES","HOMICÍDIO DOLOSO",2014-05-01,4
"10306","CAMPOS DE JULIO","HOMICÍDIO DOLOSO",2014-05-01,1
"10307","CANARANA","HOMICÍDIO DOLOSO",2014-05-01,1
"10308","CARLINDA","HOMICÍDIO DOLOSO",2014-05-01,1
"10309","CASTANHEIRA","HOMICÍDIO DOLOSO",2014-05-01,1
"10310","COCALINHO","HOMICÍDIO DOLOSO",2014-05-01,1
"10311","COLIDER","HOMICÍDIO DOLOSO",2014-05-01,2
"10312","COLNIZA","HOMICÍDIO DOLOSO",2014-05-01,3
"10313","CONFRESA","HOMICÍDIO DOLOSO",2014-05-01,4
"10314","COTRIGUACU","HOMICÍDIO DOLOSO",2014-05-01,1
"10315","CUIABA","HOMICÍDIO DOLOSO",2014-05-01,74
"10316","DIAMANTINO","HOMICÍDIO DOLOSO",2014-05-01,2
"10317","IPIRANGA DO NORTE","HOMICÍDIO DOLOSO",2014-05-01,1
"10318","ITIQUIRA","HOMICÍDIO DOLOSO",2014-05-01,1
"10319","JAURU","HOMICÍDIO DOLOSO",2014-05-01,1
"10320","JUINA","HOMICÍDIO DOLOSO",2014-05-01,1
"10321","LUCIARA","HOMICÍDIO DOLOSO",2014-05-01,1
"10322","MIRASSOL D""OESTE","HOMICÍDIO DOLOSO",2014-05-01,2
"10323","NOBRES","HOMICÍDIO DOLOSO",2014-05-01,1
"10324","NOVA LACERDA","HOMICÍDIO DOLOSO",2014-05-01,1
"10325","NOVA MARILANDIA","HOMICÍDIO DOLOSO",2014-05-01,1
"10326","NOVA MUTUM","HOMICÍDIO DOLOSO",2014-05-01,7
"10327","NOVA XAVANTINA","HOMICÍDIO DOLOSO",2014-05-01,1
"10328","PEIXOTO DE AZEVEDO","HOMICÍDIO DOLOSO",2014-05-01,1
"10329","POCONE","HOMICÍDIO DOLOSO",2014-05-01,2
"10330","PONTES E LACERDA","HOMICÍDIO DOLOSO",2014-05-01,5
"10331","PORTO ALEGRE DO NORTE","HOMICÍDIO DOLOSO",2014-05-01,1
"10332","RIBEIRAO CASCALHEIRA","HOMICÍDIO DOLOSO",2014-05-01,1
"10333","RONDONOPOLIS","HOMICÍDIO DOLOSO",2014-05-01,21
"10334","ROSARIO OESTE","HOMICÍDIO DOLOSO",2014-05-01,4
"10335","SANTO ANTONIO DO LEVERGER","HOMICÍDIO DOLOSO",2014-05-01,1
"10336","SAO FELIX DO ARAGUAIA","HOMICÍDIO DOLOSO",2014-05-01,1
"10337","SINOP","HOMICÍDIO DOLOSO",2014-05-01,5
"10338","SORRISO","HOMICÍDIO DOLOSO",2014-05-01,4
"10339","TANGARA DA SERRA","HOMICÍDIO DOLOSO",2014-05-01,2
"10340","VARZEA GRANDE","HOMICÍDIO DOLOSO",2014-05-01,53
"10341","VILA BELA DA SS TRINDADE","HOMICÍDIO DOLOSO",2014-05-01,2
"10342","VILA RICA","HOMICÍDIO DOLOSO",2014-05-01,2
"10343","COLIDER","LESÃO CORPORAL SEGUIDA DE MORTE",2014-05-01,1
"10344","CUIABA","LESÃO CORPORAL SEGUIDA DE MORTE",2014-05-01,2
"10345","LUCAS DO RIO VERDE","LESÃO CORPORAL SEGUIDA DE MORTE",2014-05-01,1
"10346","SINOP","LESÃO CORPORAL SEGUIDA DE MORTE",2014-05-01,1
"10347","TANGARA DA SERRA","LESÃO CORPORAL SEGUIDA DE MORTE",2014-05-01,1
"10348","AGUA BOA","ROUBO",2014-05-01,3
"10349","ALTA FLORESTA","ROUBO",2014-05-01,17
"10350","ALTO ARAGUAIA","ROUBO",2014-05-01,2
"10351","ARAPUTANGA","ROUBO",2014-05-01,1
"10352","ARENAPOLIS","ROUBO",2014-05-01,1
"10353","BARRA DO BUGRES","ROUBO",2014-05-01,1
"10354","BARRA DO GARCAS","ROUBO",2014-05-01,22
"10355","BRASNORTE","ROUBO",2014-05-01,1
"10356","CACERES","ROUBO",2014-05-01,35
"10357","CAMPO NOVO DO PARECIS","ROUBO",2014-05-01,4
"10358","CAMPO VERDE","ROUBO",2014-05-01,3
"10359","CANARANA","ROUBO",2014-05-01,1
"10360","CHAPADA DOS GUIMARAES","ROUBO",2014-05-01,1
"10361","COLIDER","ROUBO",2014-05-01,6
"10362","COLNIZA","ROUBO",2014-05-01,3
"10363","CONFRESA","ROUBO",2014-05-01,8
"10364","COTRIGUACU","ROUBO",2014-05-01,1
"10365","CUIABA","ROUBO",2014-05-01,520
"10366","DIAMANTINO","ROUBO",2014-05-01,9
"10367","FIGUEIROPOLIS D""OESTE","ROUBO",2014-05-01,1
"10368","GUARANTA DO NORTE","ROUBO",2014-05-01,1
"10369","JACIARA","ROUBO",2014-05-01,2
"10370","JUARA","ROUBO",2014-05-01,1
"10371","JUINA","ROUBO",2014-05-01,2
"10372","LUCAS DO RIO VERDE","ROUBO",2014-05-01,3
"10373","MATUPA","ROUBO",2014-05-01,1
"10374","MIRASSOL D""OESTE","ROUBO",2014-05-01,15
"10375","NOBRES","ROUBO",2014-05-01,1
"10376","NOSSA SRA DO LIVRAMENTO","ROUBO",2014-05-01,1
"10377","NOVA MONTEVERDE","ROUBO",2014-05-01,1
"10378","NOVA MUTUM","ROUBO",2014-05-01,26
"10379","NOVA XAVANTINA","ROUBO",2014-05-01,5
"10380","NOVO MUNDO","ROUBO",2014-05-01,1
"10381","PARANATINGA","ROUBO",2014-05-01,2
"10382","PEDRA PRETA","ROUBO",2014-05-01,8
"10383","PEIXOTO DE AZEVEDO","ROUBO",2014-05-01,7
"10384","POCONE","ROUBO",2014-05-01,13
"10385","PONTAL DO ARAGUAIA","ROUBO",2014-05-01,1
"10386","PONTES E LACERDA","ROUBO",2014-05-01,13
"10387","PORTO ESPERIDIAO","ROUBO",2014-05-01,2
"10388","PRIMAVERA DO LESTE","ROUBO",2014-05-01,21
"10389","QUERENCIA","ROUBO",2014-05-01,6
"10390","RONDONOPOLIS","ROUBO",2014-05-01,169
"10391","ROSARIO OESTE","ROUBO",2014-05-01,5
"10392","SANTA RITA DO TRIVELATO","ROUBO",2014-05-01,1
"10393","SANTA TEREZINHA","ROUBO",2014-05-01,1
"10394","SANTO ANTONIO DO LEVERGER","ROUBO",2014-05-01,1
"10395","SAO JOSE DO RIO CLARO","ROUBO",2014-05-01,3
"10396","SAO JOSE DOS QUATRO MARCOS","ROUBO",2014-05-01,1
"10397","SAPEZAL","ROUBO",2014-05-01,2
"10398","SINOP","ROUBO",2014-05-01,57
"10399","SORRISO","ROUBO",2014-05-01,20
"10400","TANGARA DA SERRA","ROUBO",2014-05-01,20
"10401","VARZEA GRANDE","ROUBO",2014-05-01,282
"10402","VILA BELA DA SS TRINDADE","ROUBO",2014-05-01,1
"10403","VILA RICA","ROUBO",2014-05-01,3
"10404","BARRA DO GARCAS","ROUBO SEGUIDO DE MORTE",2014-05-01,1
"10405","CUIABA","ROUBO SEGUIDO DE MORTE",2014-05-01,1
"10406","SINOP","ROUBO SEGUIDO DE MORTE",2014-05-01,1
"10407","SORRISO","ROUBO SEGUIDO DE MORTE",2014-05-01,3
"10408","VARZEA GRANDE","ROUBO SEGUIDO DE MORTE",2014-05-01,5
"10409","ACORIZAL","FURTO",2014-06-01,1
"10410","AGUA BOA","FURTO",2014-06-01,30
"10411","ALTA FLORESTA","FURTO",2014-06-01,58
"10412","ALTO ARAGUAIA","FURTO",2014-06-01,22
"10413","ALTO BOA VISTA","FURTO",2014-06-01,3
"10414","ALTO GARCAS","FURTO",2014-06-01,7
"10415","ALTO PARAGUAI","FURTO",2014-06-01,1
"10416","ALTO TAQUARI","FURTO",2014-06-01,12
"10417","APIACAS","FURTO",2014-06-01,2
"10418","ARAGUAIANA","FURTO",2014-06-01,3
"10419","ARAPUTANGA","FURTO",2014-06-01,21
"10420","ARENAPOLIS","FURTO",2014-06-01,6
"10421","ARIPUANA","FURTO",2014-06-01,24
"10422","BARRA DO BUGRES","FURTO",2014-06-01,7
"10423","BARRA DO GARCAS","FURTO",2014-06-01,131
"10424","BOM JESUS DO ARAGUAIA","FURTO",2014-06-01,3
"10425","BRASNORTE","FURTO",2014-06-01,6
"10426","CACERES","FURTO",2014-06-01,97
"10427","CAMPINAPOLIS","FURTO",2014-06-01,5
"10428","CAMPO NOVO DO PARECIS","FURTO",2014-06-01,25
"10429","CAMPO VERDE","FURTO",2014-06-01,20
"10430","CAMPOS DE JULIO","FURTO",2014-06-01,19
"10431","CANABRAVA DO NORTE","FURTO",2014-06-01,4
"10432","CANARANA","FURTO",2014-06-01,26
"10433","CARLINDA","FURTO",2014-06-01,5
"10434","CASTANHEIRA","FURTO",2014-06-01,3
"10435","CHAPADA DOS GUIMARAES","FURTO",2014-06-01,42
"10436","COCALINHO","FURTO",2014-06-01,7
"10437","COLIDER","FURTO",2014-06-01,22
"10438","COLNIZA","FURTO",2014-06-01,24
"10439","COMODORO","FURTO",2014-06-01,21
"10440","CONFRESA","FURTO",2014-06-01,25
"10441","CONQUISTA DOESTE","FURTO",2014-06-01,1
"10442","COTRIGUACU","FURTO",2014-06-01,6
"10443","CUIABA","FURTO",2014-06-01,925
"10444","CURVELANDIA","FURTO",2014-06-01,1
"10445","DENISE","FURTO",2014-06-01,1
"10446","DIAMANTINO","FURTO",2014-06-01,21
"10447","DOM AQUINO","FURTO",2014-06-01,4
"10448","FELIZ NATAL","FURTO",2014-06-01,4
"10449","FIGUEIROPOLIS D""OESTE","FURTO",2014-06-01,4
"10450","GENERAL CARNEIRO","FURTO",2014-06-01,7
"10451","GLORIA DOESTE","FURTO",2014-06-01,3
"10452","GUARANTA DO NORTE","FURTO",2014-06-01,17
"10453","GUIRATINGA","FURTO",2014-06-01,2
"10454","INDIAVAI","FURTO",2014-06-01,3
"10455","ITAUBA","FURTO",2014-06-01,2
"10456","ITIQUIRA","FURTO",2014-06-01,5
"10457","JACIARA","FURTO",2014-06-01,29
"10458","JANGADA","FURTO",2014-06-01,10
"10459","JAURU","FURTO",2014-06-01,6
"10460","JUARA","FURTO",2014-06-01,12
"10461","JUINA","FURTO",2014-06-01,61
"10462","JURUENA","FURTO",2014-06-01,1
"10463","JUSCIMEIRA","FURTO",2014-06-01,9
"10464","LAMBARI DOESTE","FURTO",2014-06-01,2
"10465","LUCAS DO RIO VERDE","FURTO",2014-06-01,67
"10466","MARCELANDIA","FURTO",2014-06-01,1
"10467","MATUPA","FURTO",2014-06-01,6
"10468","MIRASSOL D""OESTE","FURTO",2014-06-01,28
"10469","NOBRES","FURTO",2014-06-01,15
"10470","NORTELANDIA","FURTO",2014-06-01,2
"10471","NOSSA SRA DO LIVRAMENTO","FURTO",2014-06-01,8
"10472","NOVA BANDEIRANTE","FURTO",2014-06-01,2
"10473","NOVA CANAA DO NORTE","FURTO",2014-06-01,2
"10474","NOVA LACERDA","FURTO",2014-06-01,3
"10475","NOVA MARINGA","FURTO",2014-06-01,2
"10476","NOVA MONTEVERDE","FURTO",2014-06-01,3
"10477","NOVA MUTUM","FURTO",2014-06-01,72
"10478","NOVA OLIMPIA","FURTO",2014-06-01,2
"10479","NOVA UBIRATA","FURTO",2014-06-01,4
"10480","NOVA XAVANTINA","FURTO",2014-06-01,27
"10481","PARANAITA","FURTO",2014-06-01,11
"10482","PARANATINGA","FURTO",2014-06-01,18
"10483","PEDRA PRETA","FURTO",2014-06-01,19
"10484","PEIXOTO DE AZEVEDO","FURTO",2014-06-01,12
"10485","POCONE","FURTO",2014-06-01,17
"10486","PONTAL DO ARAGUAIA","FURTO",2014-06-01,5
"10487","PONTE BRANCA","FURTO",2014-06-01,1
"10488","PONTES E LACERDA","FURTO",2014-06-01,56
"10489","PORTO ALEGRE DO NORTE","FURTO",2014-06-01,14
"10490","PORTO DOS GAUCHOS","FURTO",2014-06-01,4
"10491","PORTO ESPERIDIAO","FURTO",2014-06-01,1
"10492","POXOREO","FURTO",2014-06-01,2
"10493","PRIMAVERA DO LESTE","FURTO",2014-06-01,62
"10494","QUERENCIA","FURTO",2014-06-01,18
"10495","RIBEIRAO CASCALHEIRA","FURTO",2014-06-01,11
"10496","RIBEIRAOZINHO","FURTO",2014-06-01,1
"10497","RIO BRANCO","FURTO",2014-06-01,3
"10498","RONDONOPOLIS","FURTO",2014-06-01,293
"10499","ROSARIO OESTE","FURTO",2014-06-01,26
"10500","SANTA CRUZ DO XINGU","FURTO",2014-06-01,4
"10501","SANTA TEREZINHA","FURTO",2014-06-01,1
"10502","SANTO AFONSO","FURTO",2014-06-01,1
"10503","SANTO ANTONIO DO LEVERGER","FURTO",2014-06-01,6
"10504","SAO FELIX DO ARAGUAIA","FURTO",2014-06-01,5
"10505","SAO JOSE DO POVO","FURTO",2014-06-01,1
"10506","SAO JOSE DO RIO CLARO","FURTO",2014-06-01,12
"10507","SAO JOSE DO XINGU","FURTO",2014-06-01,3
"10508","SAO JOSE DOS QUATRO MARCOS","FURTO",2014-06-01,20
"10509","SAO PEDRO DA CIPA","FURTO",2014-06-01,2
"10510","SAPEZAL","FURTO",2014-06-01,24
"10511","SERRA NOVA DOURADA","FURTO",2014-06-01,1
"10512","SINOP","FURTO",2014-06-01,188
"10513","SORRISO","FURTO",2014-06-01,73
"10514","TANGARA DA SERRA","FURTO",2014-06-01,81
"10515","TAPURAH","FURTO",2014-06-01,1
"10516","TERRA NOVA DO NORTE","FURTO",2014-06-01,5
"10517","TESOURO","FURTO",2014-06-01,1
"10518","TORIXOREU","FURTO",2014-06-01,3
"10519","UNIAO DO SUL","FURTO",2014-06-01,1
"10520","VARZEA GRANDE","FURTO",2014-06-01,332
"10521","VILA BELA DA SS TRINDADE","FURTO",2014-06-01,7
"10522","VILA RICA","FURTO",2014-06-01,20
"10523","AGUA BOA","HOMICÍDIO DOLOSO",2014-06-01,1
"10524","ALTA FLORESTA","HOMICÍDIO DOLOSO",2014-06-01,2
"10525","ALTO GARCAS","HOMICÍDIO DOLOSO",2014-06-01,1
"10526","ALTO PARAGUAI","HOMICÍDIO DOLOSO",2014-06-01,2
"10527","BARRA DO GARCAS","HOMICÍDIO DOLOSO",2014-06-01,6
"10528","CACERES","HOMICÍDIO DOLOSO",2014-06-01,5
"10529","CAMPOS DE JULIO","HOMICÍDIO DOLOSO",2014-06-01,1
"10530","CANARANA","HOMICÍDIO DOLOSO",2014-06-01,1
"10531","CARLINDA","HOMICÍDIO DOLOSO",2014-06-01,1
"10532","COLNIZA","HOMICÍDIO DOLOSO",2014-06-01,2
"10533","CONFRESA","HOMICÍDIO DOLOSO",2014-06-01,4
"10534","COTRIGUACU","HOMICÍDIO DOLOSO",2014-06-01,1
"10535","CUIABA","HOMICÍDIO DOLOSO",2014-06-01,71
"10536","DIAMANTINO","HOMICÍDIO DOLOSO",2014-06-01,2
"10537","DOM AQUINO","HOMICÍDIO DOLOSO",2014-06-01,1
"10538","GUARANTA DO NORTE","HOMICÍDIO DOLOSO",2014-06-01,2
"10539","JAURU","HOMICÍDIO DOLOSO",2014-06-01,1
"10540","JUARA","HOMICÍDIO DOLOSO",2014-06-01,2
"10541","JUINA","HOMICÍDIO DOLOSO",2014-06-01,2
"10542","LUCAS DO RIO VERDE","HOMICÍDIO DOLOSO",2014-06-01,2
"10543","MIRASSOL D""OESTE","HOMICÍDIO DOLOSO",2014-06-01,1
"10544","NOSSA SRA DO LIVRAMENTO","HOMICÍDIO DOLOSO",2014-06-01,1
"10545","NOVA CANAA DO NORTE","HOMICÍDIO DOLOSO",2014-06-01,1
"10546","NOVA LACERDA","HOMICÍDIO DOLOSO",2014-06-01,1
"10547","NOVA MUTUM","HOMICÍDIO DOLOSO",2014-06-01,7
"10548","NOVA OLIMPIA","HOMICÍDIO DOLOSO",2014-06-01,1
"10549","NOVA XAVANTINA","HOMICÍDIO DOLOSO",2014-06-01,3
"10550","PARANAITA","HOMICÍDIO DOLOSO",2014-06-01,2
"10551","PARANATINGA","HOMICÍDIO DOLOSO",2014-06-01,2
"10552","PEIXOTO DE AZEVEDO","HOMICÍDIO DOLOSO",2014-06-01,3
"10553","PONTES E LACERDA","HOMICÍDIO DOLOSO",2014-06-01,2
"10554","PORTO ESPERIDIAO","HOMICÍDIO DOLOSO",2014-06-01,1
"10555","QUERENCIA","HOMICÍDIO DOLOSO",2014-06-01,1
"10556","RIBEIRAO CASCALHEIRA","HOMICÍDIO DOLOSO",2014-06-01,1
"10557","RONDONOPOLIS","HOMICÍDIO DOLOSO",2014-06-01,20
"10558","ROSARIO OESTE","HOMICÍDIO DOLOSO",2014-06-01,3
"10559","SAO FELIX DO ARAGUAIA","HOMICÍDIO DOLOSO",2014-06-01,1
"10560","SAO JOSE DO RIO CLARO","HOMICÍDIO DOLOSO",2014-06-01,1
"10561","SAO JOSE DO XINGU","HOMICÍDIO DOLOSO",2014-06-01,1
"10562","SINOP","HOMICÍDIO DOLOSO",2014-06-01,10
"10563","SORRISO","HOMICÍDIO DOLOSO",2014-06-01,3
"10564","TANGARA DA SERRA","HOMICÍDIO DOLOSO",2014-06-01,1
"10565","VARZEA GRANDE","HOMICÍDIO DOLOSO",2014-06-01,55
"10566","VILA BELA DA SS TRINDADE","HOMICÍDIO DOLOSO",2014-06-01,1
"10567","VILA RICA","HOMICÍDIO DOLOSO",2014-06-01,2
"10568","VILA RICA","LESÃO CORPORAL SEGUIDA DE MORTE",2014-06-01,1
"10569","ACORIZAL","ROUBO",2014-06-01,2
"10570","AGUA BOA","ROUBO",2014-06-01,1
"10571","ALTA FLORESTA","ROUBO",2014-06-01,9
"10572","ALTO ARAGUAIA","ROUBO",2014-06-01,2
"10573","ALTO TAQUARI","ROUBO",2014-06-01,3
"10574","ARAPUTANGA","ROUBO",2014-06-01,2
"10575","BARRA DO BUGRES","ROUBO",2014-06-01,4
"10576","BARRA DO GARCAS","ROUBO",2014-06-01,21
"10577","CACERES","ROUBO",2014-06-01,54
"10578","CAMPO NOVO DO PARECIS","ROUBO",2014-06-01,7
"10579","CAMPO VERDE","ROUBO",2014-06-01,7
"10580","CANARANA","ROUBO",2014-06-01,5
"10581","CARLINDA","ROUBO",2014-06-01,2
"10582","CHAPADA DOS GUIMARAES","ROUBO",2014-06-01,1
"10583","COLIDER","ROUBO",2014-06-01,9
"10584","COMODORO","ROUBO",2014-06-01,5
"10585","CONFRESA","ROUBO",2014-06-01,3
"10586","CUIABA","ROUBO",2014-06-01,537
"10587","DIAMANTINO","ROUBO",2014-06-01,14
"10588","GUARANTA DO NORTE","ROUBO",2014-06-01,2
"10589","GUIRATINGA","ROUBO",2014-06-01,1
"10590","JACIARA","ROUBO",2014-06-01,4
"10591","JANGADA","ROUBO",2014-06-01,3
"10592","JAURU","ROUBO",2014-06-01,1
"10593","JUARA","ROUBO",2014-06-01,1
"10594","JUINA","ROUBO",2014-06-01,11
"10595","JUSCIMEIRA","ROUBO",2014-06-01,2
"10596","LUCAS DO RIO VERDE","ROUBO",2014-06-01,16
"10597","MIRASSOL D""OESTE","ROUBO",2014-06-01,11
"10598","NOBRES","ROUBO",2014-06-01,4
"10599","NOSSA SRA DO LIVRAMENTO","ROUBO",2014-06-01,1
"10600","NOVA BANDEIRANTE","ROUBO",2014-06-01,1
"10601","NOVA MARILANDIA","ROUBO",2014-06-01,1
"10602","NOVA MUTUM","ROUBO",2014-06-01,33
"10603","NOVA OLIMPIA","ROUBO",2014-06-01,2
"10604","NOVA XAVANTINA","ROUBO",2014-06-01,3
"10605","PARANAITA","ROUBO",2014-06-01,1
"10606","PARANATINGA","ROUBO",2014-06-01,5
"10607","PEDRA PRETA","ROUBO",2014-06-01,5
"10608","PEIXOTO DE AZEVEDO","ROUBO",2014-06-01,11
"10609","POCONE","ROUBO",2014-06-01,5
"10610","PONTAL DO ARAGUAIA","ROUBO",2014-06-01,1
"10611","PONTES E LACERDA","ROUBO",2014-06-01,18
"10612","PRIMAVERA DO LESTE","ROUBO",2014-06-01,23
"10613","RIBEIRAOZINHO","ROUBO",2014-06-01,1
"10614","RONDONOPOLIS","ROUBO",2014-06-01,173
"10615","ROSARIO OESTE","ROUBO",2014-06-01,5
"10616","SANTO ANTONIO DO LEVERGER","ROUBO",2014-06-01,2
"10617","SAO JOSE DO RIO CLARO","ROUBO",2014-06-01,5
"10618","SAO JOSE DOS QUATRO MARCOS","ROUBO",2014-06-01,1
"10619","SAPEZAL","ROUBO",2014-06-01,1
"10620","SINOP","ROUBO",2014-06-01,51
"10621","SORRISO","ROUBO",2014-06-01,20
"10622","TABAPORA","ROUBO",2014-06-01,1
"10623","TANGARA DA SERRA","ROUBO",2014-06-01,13
"10624","TESOURO","ROUBO",2014-06-01,1
"10625","TORIXOREU","ROUBO",2014-06-01,1
"10626","VARZEA GRANDE","ROUBO",2014-06-01,324
"10627","VILA BELA DA SS TRINDADE","ROUBO",2014-06-01,2
"10628","VILA RICA","ROUBO",2014-06-01,1
"10629","CACERES","ROUBO SEGUIDO DE MORTE",2014-06-01,1
"10630","CUIABA","ROUBO SEGUIDO DE MORTE",2014-06-01,1
"10631","SINOP","ROUBO SEGUIDO DE MORTE",2014-06-01,1
"10632","VARZEA GRANDE","ROUBO SEGUIDO DE MORTE",2014-06-01,2
"10633","ACORIZAL","FURTO",2014-07-01,1
"10634","AGUA BOA","FURTO",2014-07-01,35
"10635","ALTA FLORESTA","FURTO",2014-07-01,62
"10636","ALTO ARAGUAIA","FURTO",2014-07-01,20
"10637","ALTO BOA VISTA","FURTO",2014-07-01,10
"10638","ALTO GARCAS","FURTO",2014-07-01,9
"10639","ALTO PARAGUAI","FURTO",2014-07-01,3
"10640","ALTO TAQUARI","FURTO",2014-07-01,16
"10641","APIACAS","FURTO",2014-07-01,3
"10642","ARAGUAIANA","FURTO",2014-07-01,5
"10643","ARAPUTANGA","FURTO",2014-07-01,13
"10644","ARENAPOLIS","FURTO",2014-07-01,10
"10645","ARIPUANA","FURTO",2014-07-01,18
"10646","BARAO DE MELGACO","FURTO",2014-07-01,1
"10647","BARRA DO BUGRES","FURTO",2014-07-01,2
"10648","BARRA DO GARCAS","FURTO",2014-07-01,87
"10649","BRASNORTE","FURTO",2014-07-01,3
"10650","CACERES","FURTO",2014-07-01,99
"10651","CAMPINAPOLIS","FURTO",2014-07-01,8
"10652","CAMPO NOVO DO PARECIS","FURTO",2014-07-01,38
"10653","CAMPO VERDE","FURTO",2014-07-01,25
"10654","CAMPOS DE JULIO","FURTO",2014-07-01,8
"10655","CANABRAVA DO NORTE","FURTO",2014-07-01,3
"10656","CANARANA","FURTO",2014-07-01,13
"10657","CARLINDA","FURTO",2014-07-01,3
"10658","CASTANHEIRA","FURTO",2014-07-01,7
"10659","CHAPADA DOS GUIMARAES","FURTO",2014-07-01,24
"10660","CLAUDIA","FURTO",2014-07-01,2
"10661","COCALINHO","FURTO",2014-07-01,2
"10662","COLIDER","FURTO",2014-07-01,16
"10663","COLNIZA","FURTO",2014-07-01,16
"10664","COMODORO","FURTO",2014-07-01,18
"10665","CONFRESA","FURTO",2014-07-01,27
"10666","COTRIGUACU","FURTO",2014-07-01,1
"10667","CUIABA","FURTO",2014-07-01,925
"10668","CURVELANDIA","FURTO",2014-07-01,8
"10669","DENISE","FURTO",2014-07-01,3
"10670","DIAMANTINO","FURTO",2014-07-01,31
"10671","DOM AQUINO","FURTO",2014-07-01,3
"10672","FELIZ NATAL","FURTO",2014-07-01,1
"10673","FIGUEIROPOLIS D""OESTE","FURTO",2014-07-01,1
